date,wins,losses,pnl
2023-10-23,1,0,200.0
2023-10-25,0,1,-102.0
2023-10-26,0,1,-100.98
2023-10-27,0,1,-99.9702
2023-10-29,0,1,-98.970498
2023-10-31,0,1,-97.98079302000001
2023-11-03,0,1,-97.0009850898
2023-11-08,1,1,94.11035573412394
2023-11-10,0,1,-96.97207879624324
2023-11-13,0,1,-96.00235800828081
2023-11-14,0,1,-95.04233442819799
2023-11-16,0,1,-94.09191108391602
2023-11-20,0,1,-93.15099197307686
2023-11-21,1,2,-2.7481405651897006
2023-11-27,1,0,184.3840012953884
2023-11-28,1,0,188.07168132129615
2023-12-01,0,1,-95.91655747386105
2023-12-03,1,0,189.91478379824486
2023-12-04,2,0,391.30042053790373
2023-12-06,1,0,201.53908788496784
2023-12-07,0,2,-204.5420202944539
2023-12-08,1,2,-3.002037535627977
2023-12-11,1,0,201.4189884860656
2023-12-13,2,0,415.00368387668954
2023-12-14,1,0,213.74744193332072
2023-12-16,1,0,218.02239077198712
2023-12-19,1,1,108.96759090783914
2023-12-21,0,2,-223.43937945355572
2023-12-22,0,1,-110.04670140825627
2023-12-27,0,1,-108.9462343941737
2023-12-29,0,1,-107.85677205023195
2024-01-03,0,1,-106.77820432972963
2024-01-10,0,2,-210.36374035000034
2024-01-12,1,0,207.21356976586463
2024-01-15,0,1,-105.67892058059097
2024-01-17,1,0,209.2442627495701
2024-01-19,1,1,104.58028252223515
2024-01-22,0,1,-107.7603768275031
2024-01-23,0,1,-106.68277305922805
2024-01-26,1,0,211.23189065727155
2024-02-01,1,0,215.45652847041697
2024-02-05,1,0,219.7656590398253
2024-02-07,0,1,-112.0804861103109
2024-02-13,1,1,108.74048762422363
2024-02-19,0,1,-112.04708612545002
2024-02-20,0,1,-110.92661526419552
2024-02-23,1,0,219.6346982231071
2024-02-29,0,1,-112.01369609378465
2024-03-01,0,1,-110.89355913284679
2024-03-02,0,2,-218.47140084762145
2024-03-03,0,1,-107.59990953304211
2024-03-04,0,1,-106.52391043771168
2024-03-05,1,0,210.9173426666691
2024-03-06,0,3,-319.4872557216797
2024-03-07,0,1,-104.37297220278444
2024-03-08,1,1,101.26265763114147
2024-03-10,0,1,-104.34186905706802
2024-03-11,1,0,206.59690073299467
2024-03-12,0,1,-105.36441937382727
2024-03-13,0,1,-104.31077518008901
2024-03-15,1,0,206.53533485657624
2024-03-16,0,1,-105.33302077685389
2024-03-18,0,2,-207.51658423247983
2024-03-20,1,1,100.16043423222536
2024-03-21,0,1,-103.20612906908282
2024-03-22,0,1,-102.17406777839199
2024-03-25,0,1,-101.15232710060806
2024-03-28,1,2,-2.984195954122143
2024-03-29,0,1,-100.11096187006076
2024-03-31,0,1,-99.10985225136015
2024-04-01,0,1,-98.11875372884656
2024-04-02,1,0,194.2751323831162
2024-04-03,1,1,97.09871116508145
2024-04-05,2,1,300.1138933592694
2024-04-07,0,1,-103.05244356063277
2024-04-08,1,0,204.0438382500529
2024-04-09,1,1,101.98111035737641
2024-04-10,0,1,-105.08216861110071
2024-04-11,1,0,208.0626938499794
2024-04-12,3,3,315.03648852370446
2024-04-13,3,5,100.50221843965865
2024-04-14,4,14,-657.6521105349758
2024-04-15,3,6,-9.267198906604136
2024-04-16,1,3,-106.6545209862849
2024-04-17,0,3,-304.52917236993113
2024-04-18,0,1,-99.48633090514521
2024-04-19,0,1,-98.49146759609376
2024-04-21,1,1,95.55642186173016
2024-04-22,1,3,-101.36694651857755
2024-04-23,0,1,-97.44844767356436
2024-04-25,1,1,94.54448393289213
2024-04-26,0,1,-97.41940803615762
2024-04-27,0,1,-96.44521395579605
2024-04-28,0,2,-190.00671601431378
2024-04-29,1,0,187.1613893121899
2024-04-30,1,1,93.54326237823251
2024-05-01,0,2,-191.81160493426836
2024-05-02,0,1,-94.4696251236565
2024-05-04,0,2,-186.11460845611566
2024-05-06,0,2,-182.41092774783894
2024-05-09,1,1,88.0428800401728
2024-05-13,0,2,-180.5330035984564
2024-05-14,0,1,-88.91477227479754
2024-05-15,1,1,86.26511206100858
2024-05-16,0,1,-88.88827567265965
2024-05-17,1,0,175.9987858318661
2024-05-19,1,0,179.5187615485034
2024-05-20,1,1,89.72347702194199
2024-05-22,1,1,90.602767096757
2024-05-23,0,1,-93.35783083092372
2024-05-31,0,1,-92.42425252261448
2024-06-05,1,0,183.00001999477666
2024-06-07,0,2,-185.72672029269887
2024-06-09,0,1,-91.47274299440912
2024-06-13,0,1,-90.55801556446502
2024-06-14,0,1,-89.65243540882037
2024-06-17,0,1,-88.75591105473217
2024-06-20,1,0,175.7367038883697
2024-06-23,1,0,179.2514379661371
2024-06-25,0,1,-91.41823336272992
2024-06-26,0,1,-90.50405102910261
2024-06-27,1,0,179.1980210376232
2024-07-03,1,0,182.78198145837564
2024-07-04,0,1,-93.21881054377158
2024-07-05,0,3,-274.1004973040954
2024-07-07,0,1,-89.5456174652929
2024-07-11,0,1,-88.65016129063997
2024-07-12,0,2,-174.6496827586898
2024-07-16,2,0,347.50933791459255
2024-07-17,0,1,-89.4922562292926
2024-07-19,0,1,-88.59733366699967
2024-07-23,1,0,175.42272066065937
2024-07-24,2,0,361.44097364922254
2024-07-25,0,1,-93.07999727342849
2024-07-26,1,0,184.29839460138842
2024-07-27,0,2,-187.04444068094912
