entry_time,exit_time,type,status,pnl
2022-03-15 13:40:00,2022-03-16 10:00:00,long,win,200.0
2022-03-16 13:00:00,2022-03-16 20:55:00,short,loss,-102.0
2022-03-17 13:00:00,2022-03-17 20:45:00,short,loss,-100.98
2022-03-21 13:00:00,2022-03-21 15:30:00,short,loss,-99.9702
2022-03-21 15:30:00,2022-03-21 20:15:00,short,loss,-98.970498
2022-03-22 13:00:00,2022-03-23 06:45:00,short,win,195.96158604000001
2022-03-23 13:00:00,2022-03-23 19:50:00,short,loss,-99.94040888040001
2022-03-24 13:05:00,2022-03-24 14:05:00,short,loss,-98.94100479159601
2022-03-24 16:55:00,2022-03-24 21:05:00,long,loss,-97.95159474368006
2022-03-28 13:00:00,2022-03-28 18:25:00,long,loss,-96.97207879624327
2022-03-29 13:25:00,2022-03-29 14:45:00,short,loss,-96.00235800828082
2022-03-29 15:40:00,2022-03-30 08:20:00,long,win,190.08466885639604
2022-03-30 13:00:00,2022-03-31 13:35:00,long,loss,-96.94318111676198
2022-04-04 13:05:00,2022-04-05 15:40:00,long,loss,-95.97374930559435
2022-04-06 13:00:00,2022-04-11 08:40:00,long,win,190.02802362507683
2022-04-11 13:00:00,2022-04-11 14:10:00,long,loss,-96.91429204878918
2022-04-11 15:15:00,2022-04-11 17:10:00,long,loss,-95.9451491283013
2022-04-12 13:35:00,2022-04-12 19:05:00,long,loss,-94.98569763701828
2022-04-13 13:00:00,2022-04-13 23:10:00,short,loss,-94.0358406606481
2022-04-14 13:00:00,2022-04-17 23:40:00,short,loss,-93.09548225404161
2022-04-18 13:00:00,2022-04-18 15:05:00,long,loss,-92.1645274315012
2022-04-18 15:35:00,2022-04-19 12:55:00,short,win,182.48576431437235
2022-04-20 13:00:00,2022-04-25 08:15:00,short,win,186.13547960065983
2022-04-25 13:00:00,2022-04-28 03:10:00,short,win,189.85818919267302
2022-04-28 13:10:00,2022-04-29 01:05:00,short,loss,-96.82767648826325
2022-05-02 13:55:00,2022-05-02 14:50:00,short,loss,-95.85939972338062
2022-05-02 15:55:00,2022-05-03 05:20:00,long,loss,-94.90080572614681
2022-05-03 13:00:00,2022-05-05 01:15:00,long,win,187.90359533777067
2022-05-05 13:20:00,2022-05-05 14:40:00,long,loss,-95.83083362226306
2022-05-09 13:00:00,2022-05-09 17:55:00,long,loss,-94.87252528604041
2022-05-10 13:00:00,2022-05-10 14:45:00,long,loss,-93.92380003318002
2022-05-11 13:15:00,2022-05-11 19:25:00,short,loss,-92.9845620328482
2022-05-12 13:00:00,2022-05-12 13:15:00,short,loss,-92.05471641251972
2022-05-12 13:20:00,2022-05-12 19:35:00,long,loss,-91.13416924839451
2022-05-16 13:10:00,2022-05-17 10:35:00,long,win,180.44565511182114
2022-05-17 13:00:00,2022-05-17 14:40:00,long,loss,-92.02728410702879
2022-05-17 15:35:00,2022-05-17 18:20:00,long,loss,-91.1070112659585
2022-05-18 13:00:00,2022-05-18 14:40:00,long,loss,-90.19594115329892
2022-05-18 15:35:00,2022-05-19 14:10:00,long,win,178.58796348353187
2022-05-19 15:50:00,2022-05-23 07:20:00,short,loss,-91.07986137660124
2022-05-23 13:05:00,2022-05-25 00:20:00,short,loss,-90.16906276283522
2022-05-25 13:00:00,2022-05-26 08:45:00,short,win,178.5347442704137
2022-05-26 13:00:00,2022-05-26 14:35:00,short,loss,-91.05271957791099
2022-05-26 15:30:00,2022-05-30 03:15:00,short,loss,-90.1421923821319
2022-05-30 13:00:00,2022-06-01 10:05:00,short,win,178.48154091662113
2022-06-01 13:35:00,2022-06-01 20:25:00,long,loss,-91.02558586747676
2022-06-02 13:10:00,2022-06-02 14:10:00,short,loss,-90.11533000880199
2022-06-02 15:55:00,2022-06-02 18:05:00,long,loss,-89.21417670871396
2022-06-06 13:00:00,2022-06-06 14:20:00,long,loss,-88.32203494162682
2022-06-07 13:00:00,2022-06-07 17:10:00,short,loss,-87.43881459221056
2022-06-08 13:00:00,2022-06-09 19:40:00,long,loss,-86.56442644628845
2022-06-13 15:30:00,2022-06-14 21:30:00,short,win,171.39756436365116
2022-06-15 13:00:00,2022-06-15 16:40:00,long,loss,-87.4127578254621
2022-06-16 13:05:00,2022-06-16 19:55:00,long,win,173.07726049441493
2022-06-20 13:05:00,2022-06-21 14:55:00,long,loss,-88.2694028521516
2022-06-21 14:55:00,2022-06-24 01:40:00,short,win,174.77341764726017
2022-06-27 13:25:00,2022-07-01 05:35:00,short,win,178.26888600020538
2022-07-04 13:00:00,2022-07-05 08:55:00,long,loss,-90.91713186010475
2022-07-05 13:00:00,2022-07-05 13:50:00,long,loss,-90.0079605415037
2022-07-06 13:00:00,2022-07-06 14:15:00,long,loss,-89.10788093608868
2022-07-07 13:00:00,2022-07-08 15:00:00,short,loss,-88.2168021267278
2022-07-11 13:00:00,2022-07-12 07:40:00,short,loss,-87.33463410546052
