month,total_trades,wins,pnl,win_rate
2023-10,6,1,-299.90149102000004,16.67
2023-11,13,4,-108.44276159389611,30.77
2023-12,22,11,1086.164685586858,50.0
2024-01,11,4,95.00599054788935,36.36
2024-02,9,4,316.5294897638319,44.44
2024-03,30,6,-1277.4805404000233,20.0
2024-04,79,26,-173.10125558474067,32.91
2024-05,23,6,-488.77311756108145,26.09
2024-06,12,4,-10.901926820051415,33.33
2024-07,22,8,163.35391317417958,36.36
2024-08,28,6,-904.5124431877966,21.43
2024-09,18,8,500.7502336559161,44.44
2024-10,29,10,63.13569876498937,34.48
2024-11,32,13,616.010945430204,40.62
2024-12,18,4,-571.2374850379787,22.22
2025-01,21,7,-18.770979541452775,33.33
2025-02,29,14,1211.8175990663347,48.28
2025-03,25,6,-709.894827650089,24.0
2025-04,56,17,-510.70235181528267,30.36
2025-05,53,14,-973.2379961829387,26.42
2025-06,34,9,-563.8610933599095,26.47
2025-07,17,6,61.74061104739933,35.29
2025-08,16,3,-516.0113410969827,18.75
2025-09,36,10,-428.496404172703,27.78
2025-10,72,27,563.4102380496267,37.5
2025-11,40,10,-700.2176858354719,25.0
2025-12,35,11,-148.408161778203,31.43
2026-01,60,21,151.70313768037073,35.0
2026-02,80,25,-360.28445220015834,31.25
2026-03,37,15,478.4936460969897,40.54
