entry_time,exit_time,status,pnl,score,type,year,month,dow,hour,week
2022-01-04 08:00:00,2022-01-04 08:45:00,loss,-82.67763527290329,5,long,2022,1,Tuesday,8,1
2022-01-04 09:30:00,2022-01-04 11:15:00,loss,-69.04794307414114,5,long,2022,1,Tuesday,11,1
2022-01-04 14:00:00,2022-01-06 05:30:00,loss,-51.852626602294016,5,long,2022,1,Thursday,5,1
2022-01-11 08:00:00,2022-01-11 09:45:00,loss,-96.84651191505944,5,long,2022,1,Tuesday,9,2
2022-01-11 13:00:00,2022-01-11 13:30:00,loss,-80.7251001554604,5,long,2022,1,Tuesday,13,2
2022-01-11 15:00:00,2022-01-11 16:15:00,win,133.3279564024019,5,long,2022,1,Tuesday,16,2
2022-01-13 11:15:00,2022-01-13 13:15:00,loss,-74.4253794989257,5,long,2022,1,Thursday,13,2
2022-01-26 09:30:00,2022-01-26 11:00:00,loss,-93.65423817999606,5,long,2022,1,Wednesday,11,4
2022-01-26 12:30:00,2022-01-26 13:45:00,loss,-72.96877233389533,5,long,2022,1,Wednesday,13,4
2022-02-01 08:00:00,2022-02-01 14:30:00,loss,-117.10759881263657,6,long,2022,2,Tuesday,14,5
2022-02-02 11:00:00,2022-02-02 13:15:00,win,168.07674836595118,5,long,2022,2,Wednesday,13,5
2022-02-02 13:15:00,2022-02-02 14:00:00,loss,-85.98072317826595,6,long,2022,2,Wednesday,14,5
2022-02-02 14:00:00,2022-02-02 15:15:00,win,123.27476383909945,5,long,2022,2,Wednesday,15,5
2022-02-02 15:15:00,2022-02-03 12:00:00,loss,-60.704562308244334,6,long,2022,2,Thursday,12,5
2022-02-08 10:15:00,2022-02-08 11:15:00,loss,-67.11748917736794,5,long,2022,2,Tuesday,11,6
2022-02-08 13:00:00,2022-02-08 15:15:00,win,169.9867187305835,5,long,2022,2,Tuesday,15,6
2022-02-08 15:45:00,2022-02-09 16:30:00,win,235.9598551694529,7,long,2022,2,Wednesday,16,6
2022-02-09 16:45:00,2022-02-11 00:00:00,loss,-76.02399554580116,6,long,2022,2,Friday,0,6
2022-02-22 08:00:00,2022-02-22 08:15:00,loss,-122.60366926077867,6,long,2022,2,Tuesday,8,8
2022-02-22 13:15:00,2022-02-22 15:00:00,loss,-69.40485395913888,5,long,2022,2,Tuesday,15,8
2022-02-22 18:00:00,2022-02-22 20:00:00,loss,-86.20381296133098,5,long,2022,2,Tuesday,20,8
2022-02-23 14:00:00,2022-02-23 17:00:00,win,208.51310587996093,6,long,2022,2,Wednesday,17,8
2022-02-23 17:45:00,2022-02-23 20:15:00,loss,-70.81936378132036,5,long,2022,2,Wednesday,20,8
2022-03-02 08:00:00,2022-03-02 08:30:00,loss,-125.26928377460202,6,long,2022,3,Wednesday,8,9
2022-03-02 13:30:00,2022-03-02 14:30:00,loss,-94.87953797165157,6,long,2022,3,Wednesday,14,9
2022-03-02 15:00:00,2022-03-02 15:30:00,loss,-92.93057815139552,6,long,2022,3,Wednesday,15,9
2022-03-08 08:15:00,2022-03-08 14:30:00,win,274.77762661011656,7,long,2022,3,Tuesday,14,10
2022-03-23 11:15:00,2022-03-23 17:45:00,win,154.2078133658366,5,long,2022,3,Wednesday,17,12
2022-03-24 08:00:00,2022-03-24 08:30:00,loss,-146.26595471754644,7,long,2022,3,Thursday,8,12
2022-03-24 10:00:00,2022-03-24 11:30:00,win,194.30613907290058,5,long,2022,3,Thursday,11,12
2022-03-24 12:15:00,2022-03-24 14:15:00,win,235.41815905702234,7,long,2022,3,Thursday,14,12
2022-03-24 16:30:00,2022-03-25 07:00:00,loss,-82.66173690620451,6,long,2022,3,Friday,7,12
2022-03-30 12:30:00,2022-03-30 14:45:00,win,155.4930972319547,5,long,2022,3,Wednesday,14,13
2022-03-30 16:00:00,2022-03-30 17:45:00,loss,-67.46293427776142,5,long,2022,3,Wednesday,17,13
2022-03-31 11:30:00,2022-03-31 13:45:00,win,184.05575140297105,5,long,2022,3,Thursday,13,13
2022-03-31 16:00:00,2022-03-31 19:45:00,loss,-67.52541998258839,5,long,2022,3,Thursday,19,13
2022-04-05 14:00:00,2022-04-05 14:30:00,loss,-45.12291826643929,5,long,2022,4,Tuesday,14,14
2022-04-06 10:15:00,2022-04-06 10:45:00,loss,-65.58855518245977,5,long,2022,4,Wednesday,10,14
2022-04-06 13:15:00,2022-04-06 17:15:00,loss,-60.20231320511825,5,long,2022,4,Wednesday,17,14
2022-04-07 08:00:00,2022-04-07 12:00:00,win,251.2384527598814,5,long,2022,4,Thursday,12,14
2022-04-07 12:15:00,2022-04-07 12:45:00,loss,-66.57527161278047,5,long,2022,4,Thursday,12,14
2022-04-07 13:45:00,2022-04-11 00:00:00,win,139.7514084286592,5,long,2022,4,Monday,0,15
2022-04-13 08:00:00,2022-04-14 09:00:00,loss,-118.63421138057373,6,long,2022,4,Thursday,9,15
2022-04-14 11:00:00,2022-04-14 12:45:00,loss,-61.20434555939645,5,long,2022,4,Thursday,12,15
2022-05-04 08:00:00,2022-05-04 09:00:00,loss,-79.73621215986756,5,long,2022,5,Wednesday,9,18
2022-05-05 10:00:00,2022-05-05 12:45:00,win,226.24261079188827,5,long,2022,5,Thursday,12,18
2022-05-05 13:15:00,2022-05-05 13:30:00,loss,-93.74506457026152,6,long,2022,5,Thursday,13,18
2022-05-10 13:00:00,2022-05-10 13:30:00,loss,-68.22565897762215,5,long,2022,5,Tuesday,13,19
2022-05-11 08:30:00,2022-05-11 12:30:00,loss,-74.10020760110345,5,long,2022,5,Wednesday,12,19
2022-05-11 15:15:00,2022-05-12 07:15:00,loss,-48.2912705129741,5,long,2022,5,Thursday,7,19
2022-05-12 16:15:00,2022-05-12 17:00:00,win,245.75173531341562,6,short,2022,5,Thursday,17,19
2022-05-26 08:00:00,2022-05-26 09:15:00,loss,-116.51901183185136,6,long,2022,5,Thursday,9,21
2022-05-26 14:30:00,2022-05-26 15:00:00,loss,-53.7379111986818,5,long,2022,5,Thursday,15,21
2022-05-26 18:15:00,2022-05-27 07:15:00,win,220.68957832894793,5,long,2022,5,Friday,7,21
2022-05-31 08:00:00,2022-05-31 08:45:00,loss,-123.69488904138916,6,long,2022,5,Tuesday,8,22
