entry_time,exit_time,type,status,pnl
2021-03-03 09:00:00,2021-03-03 15:00:00,short,win,200.0
2021-03-04 09:00:00,2021-03-04 18:00:00,short,win,204.0
2021-03-10 08:00:00,2021-03-11 08:00:00,long,win,208.08
2021-03-11 15:00:00,2021-03-12 09:00:00,short,win,212.2416
2021-03-16 08:00:00,2021-03-18 01:00:00,long,win,216.48643199999998
2021-03-18 17:00:00,2021-03-19 07:00:00,short,loss,-110.40808032
2021-03-23 08:00:00,2021-03-23 13:00:00,long,loss,-109.30399951679999
2021-03-24 08:00:00,2021-03-25 13:00:00,short,loss,-108.21095952163199
2021-03-25 15:00:00,2021-03-29 13:00:00,short,win,214.25769985283137
2021-03-31 11:00:00,2021-03-31 13:00:00,short,loss,-109.271426924944
2021-04-06 08:00:00,2021-04-08 13:00:00,long,win,216.35742531138908
2021-04-13 11:00:00,2021-04-13 12:00:00,short,loss,-110.34228690880843
2021-04-14 08:00:00,2021-04-14 13:00:00,long,loss,-109.23886403972035
2021-04-15 11:00:00,2021-04-15 15:00:00,long,win,216.2929507986463
2021-04-20 09:00:00,2021-04-21 01:00:00,short,loss,-110.30940490730961
2021-04-21 09:00:00,2021-04-21 13:00:00,long,win,218.41262171647304
2021-04-22 09:00:00,2021-04-28 09:00:00,short,win,222.78087415080248
2021-04-28 13:00:00,2021-04-29 13:00:00,long,loss,-113.61824581690928
2021-04-29 18:00:00,2021-05-03 12:00:00,short,loss,-112.48206335874018
2021-05-04 08:00:00,2021-05-04 14:00:00,short,loss,-111.35724272515277
2021-05-05 09:00:00,2021-05-06 02:00:00,short,loss,-110.24367029790125
2021-05-11 08:00:00,2021-05-11 12:00:00,long,loss,-109.14123359492223
2021-05-11 15:00:00,2021-05-12 13:00:00,short,loss,-108.04982125897301
2021-05-12 13:00:00,2021-05-12 20:00:00,short,win,213.93864609276653
2021-05-13 13:00:00,2021-05-14 20:00:00,long,win,218.2174190146219
2021-05-18 09:00:00,2021-05-19 10:00:00,long,loss,-111.29088369745716
2021-05-20 08:00:00,2021-05-25 14:00:00,long,win,220.35594972096519
2021-05-26 13:00:00,2021-06-01 01:00:00,short,loss,-112.38153435769223
2021-07-01 14:00:00,2021-07-02 12:00:00,long,win,222.51543802823065
2021-07-06 18:00:00,2021-07-07 12:00:00,short,loss,-113.48287339439763
2021-07-07 16:00:00,2021-07-08 08:00:00,short,loss,-112.34804466045365
2021-07-08 18:00:00,2021-07-13 12:00:00,short,loss,-111.22456421384912
2021-07-13 16:00:00,2021-07-19 11:00:00,long,loss,-110.11231857171062
2021-07-20 08:00:00,2021-07-20 12:00:00,short,loss,-109.0111953859935
2021-07-20 16:00:00,2021-07-29 10:00:00,short,loss,-107.92108343213357
2021-09-01 09:00:00,2021-09-03 12:00:00,short,loss,-106.84187259781224
2021-09-08 08:00:00,2021-09-16 10:00:00,short,win,211.54690774366824
2021-09-21 08:00:00,2021-09-23 13:00:00,long,loss,-107.8889229492708
2021-09-29 09:00:00,2021-09-29 14:00:00,long,loss,-106.81003371977809
2021-09-30 09:00:00,2021-09-30 13:00:00,short,loss,-105.74193338258031
2021-11-02 12:00:00,2021-11-03 02:00:00,long,loss,-104.68451404875452
2021-11-03 18:00:00,2021-11-04 12:00:00,short,loss,-103.63766890826697
2021-11-09 08:00:00,2021-11-10 13:00:00,long,win,205.2025844383686
2021-11-16 12:00:00,2021-11-16 15:00:00,long,loss,-104.65331806356798
2021-11-17 08:00:00,2021-11-19 17:00:00,long,loss,-103.6067848829323
2021-11-24 08:00:00,2021-11-26 07:00:00,short,loss,-102.57071703410298
2021-11-30 08:00:00,2021-11-30 16:00:00,long,loss,-101.54500986376195
