entry_time,exit_time,type,status,pnl
2021-03-02 08:00:00,2021-03-02 10:20:00,short,loss,-100.0
2021-03-02 11:55:00,2021-03-02 17:30:00,short,loss,-99.0
2021-03-03 08:00:00,2021-03-03 13:15:00,short,win,196.02
2021-03-03 16:40:00,2021-03-03 23:35:00,long,loss,-99.9702
2021-03-04 08:00:00,2021-03-04 17:45:00,short,win,197.940996
2021-03-09 08:00:00,2021-03-09 14:00:00,long,win,201.89981592
2021-03-09 15:30:00,2021-03-10 18:25:00,short,loss,-102.9689061192
2021-03-11 08:00:00,2021-03-11 14:20:00,long,loss,-101.939217058008
2021-03-11 15:50:00,2021-03-12 05:50:00,long,loss,-100.91982488742791
2021-03-16 08:00:00,2021-03-16 14:25:00,short,loss,-99.91062663855364
2021-03-16 14:55:00,2021-03-21 22:00:00,short,loss,-98.91152037216811
2021-03-30 08:05:00,2021-03-31 16:10:00,short,loss,-97.92240516844642
2021-03-31 18:00:00,2021-04-01 07:25:00,short,loss,-96.94318111676195
2021-04-01 08:35:00,2021-04-01 13:50:00,short,loss,-95.97374930559434
2021-04-01 16:10:00,2021-04-06 04:50:00,short,loss,-95.0140118125384
2021-04-06 08:00:00,2021-04-08 13:05:00,long,win,188.12774338882602
2021-04-08 15:10:00,2021-04-09 07:05:00,long,loss,-95.94514912830127
2021-04-15 08:00:00,2021-04-15 13:30:00,short,loss,-94.98569763701826
2021-04-15 17:10:00,2021-04-16 10:50:00,short,loss,-94.03584066064808
2021-04-20 08:00:00,2021-04-20 15:40:00,short,loss,-93.0954822540416
2021-04-20 16:55:00,2021-04-21 13:55:00,long,win,184.3290548630024
2021-04-21 14:55:00,2021-04-22 13:00:00,long,loss,-94.00781798013122
2021-04-22 13:35:00,2021-04-23 14:15:00,long,loss,-93.0677398003299
2021-04-27 08:00:00,2021-04-29 01:35:00,short,loss,-92.1370624023266
2021-04-29 08:00:00,2021-04-29 13:15:00,long,loss,-91.21569177830334
2021-04-29 14:50:00,2021-05-03 13:30:00,long,win,180.6070697210406
2021-05-04 08:00:00,2021-05-04 15:10:00,long,loss,-92.1096055577307
2021-05-04 16:45:00,2021-05-10 00:00:00,short,loss,-91.1885095021534
2021-05-13 08:00:00,2021-05-13 16:45:00,short,loss,-90.27662440713186
2021-05-13 17:05:00,2021-05-16 22:05:00,long,win,178.7477163261211
2021-05-18 08:00:00,2021-05-19 08:45:00,long,loss,-91.16133532632175
2021-05-19 12:00:00,2021-05-19 13:40:00,long,win,180.49944394611705
2021-05-19 16:35:00,2021-05-25 14:00:00,short,loss,-92.0547164125197
2021-05-26 08:00:00,2021-05-26 17:40:00,long,loss,-91.1341692483945
2021-07-06 08:00:00,2021-07-06 15:50:00,long,loss,-90.22282755591056
2021-07-06 18:05:00,2021-07-08 00:35:00,short,loss,-89.32059928035146
2021-07-08 08:00:00,2021-07-12 13:50:00,long,loss,-88.42739328754793
2021-07-13 08:00:00,2021-07-14 12:00:00,short,loss,-87.54311935467246
2021-07-14 13:45:00,2021-07-15 07:10:00,short,loss,-86.66768816112574
2021-07-15 08:00:00,2021-07-25 22:00:00,short,win,171.60202255902897
2021-07-27 08:00:00,2021-07-29 06:45:00,long,win,175.03406301020954
2021-07-29 08:00:00,2021-07-29 11:20:00,short,loss,-89.26737213520686
2021-07-29 12:25:00,2021-08-05 13:40:00,short,win,176.74939682770957
2021-08-05 15:30:00,2021-08-06 12:30:00,long,loss,-90.1421923821319
2021-08-11 08:00:00,2021-08-11 15:50:00,long,win,178.48154091662113
2021-08-11 18:55:00,2021-08-13 10:25:00,short,loss,-91.02558586747676
2021-08-18 08:00:00,2021-08-23 13:00:00,short,loss,-90.11533000880199
2021-08-25 08:00:00,2021-08-27 06:15:00,short,loss,-89.21417670871396
2021-08-31 08:00:00,2021-09-03 12:30:00,short,loss,-88.32203494162682
2021-09-07 08:00:00,2021-09-07 14:30:00,short,win,174.87762918442112
2021-09-07 16:55:00,2021-09-15 12:20:00,short,loss,-89.18759088405477
2021-09-15 12:35:00,2021-09-19 22:00:00,short,win,176.59142995042842
2021-09-21 08:00:00,2021-09-21 12:10:00,short,loss,-90.06162927471851
2021-09-21 12:35:00,2021-09-23 13:05:00,long,loss,-89.16101298197133
2021-09-23 16:00:00,2021-09-27 02:40:00,short,loss,-88.26940285215161
2021-09-28 08:00:00,2021-09-29 16:55:00,short,win,174.7734176472602
2021-09-29 18:35:00,2021-09-30 14:00:00,long,win,178.2688860002054
2021-09-30 17:25:00,2021-10-07 07:20:00,short,loss,-90.91713186010476
2021-10-07 08:10:00,2021-10-07 12:40:00,long,loss,-90.0079605415037
2021-10-07 13:45:00,2021-10-08 12:15:00,short,loss,-89.10788093608868
2021-10-12 08:00:00,2021-10-12 13:55:00,short,loss,-88.2168021267278
2021-10-12 14:35:00,2021-10-14 00:00:00,short,loss,-87.33463410546052
2021-10-14 08:00:00,2021-10-17 22:00:00,long,loss,-86.46128776440591
2021-10-19 08:00:00,2021-10-19 14:30:00,long,loss,-85.59667488676185
2021-10-19 17:15:00,2021-10-20 08:35:00,short,loss,-84.74070813789423
2021-10-20 10:45:00,2021-10-22 12:20:00,long,win,167.78660211303057
2021-10-26 08:00:00,2021-11-01 00:00:00,short,win,171.14233415529117
2021-11-02 08:00:00,2021-11-07 23:00:00,short,loss,-87.2825904191985
2021-11-10 08:00:00,2021-11-10 13:35:00,long,win,172.81952903001303
2021-11-10 15:45:00,2021-11-11 11:35:00,short,loss,-88.13795980530665
2021-11-11 12:05:00,2021-11-16 08:55:00,short,loss,-87.25658020725359
2021-11-16 11:40:00,2021-11-16 14:05:00,long,loss,-86.38401440518106
2021-11-16 15:25:00,2021-11-21 23:00:00,short,win,171.0403485222585
2021-12-01 08:00:00,2021-12-15 18:45:00,short,win,174.46115549270365
2021-12-21 08:00:00,2021-12-27 15:20:00,long,win,177.95037860255772
2021-12-28 08:00:00,2021-12-30 00:00:00,long,loss,-90.75469308730445
