entry_time,exit_time,status,pnl,score,type,year,month,dow,hour,week
2021-03-02 08:00:00,2021-03-02 08:30:00,loss,-82.50298122744856,5,short,2021,3,Tuesday,8,9
2021-03-02 14:50:00,2021-03-02 16:15:00,loss,-89.30944539127543,6,short,2021,3,Tuesday,16,9
2021-03-03 10:20:00,2021-03-03 13:00:00,win,265.9096736411094,6,short,2021,3,Wednesday,13,9
2021-03-03 13:35:00,2021-03-03 15:40:00,win,157.67202503960328,6,short,2021,3,Wednesday,15,9
2021-03-03 15:45:00,2021-03-03 15:55:00,loss,-94.70737425531112,7,short,2021,3,Wednesday,15,9
2021-03-03 17:10:00,2021-03-04 13:00:00,loss,-88.61407947590617,5,short,2021,3,Thursday,13,9
2021-03-04 13:20:00,2021-03-04 15:35:00,loss,-78.84025058893386,5,short,2021,3,Thursday,15,9
2021-03-04 17:10:00,2021-03-04 17:30:00,win,207.7619589899768,5,short,2021,3,Thursday,17,9
2021-03-04 18:25:00,2021-03-05 00:10:00,win,159.39185576721303,5,short,2021,3,Friday,0,9
2021-03-10 08:20:00,2021-03-10 08:35:00,loss,-63.71751549948364,5,short,2021,3,Wednesday,8,10
2021-03-10 08:40:00,2021-03-10 08:50:00,loss,-67.5374817502345,5,short,2021,3,Wednesday,8,10
2021-03-10 11:00:00,2021-03-10 12:15:00,loss,-130.28780596514497,6,short,2021,3,Wednesday,12,10
2021-03-11 15:10:00,2021-03-11 18:00:00,loss,-78.05596532587226,6,short,2021,3,Thursday,18,10
2021-03-11 18:30:00,2021-03-12 00:40:00,loss,-155.2743960592168,6,short,2021,3,Friday,0,10
2021-03-30 08:05:00,2021-03-30 11:00:00,win,244.43368095560632,7,short,2021,3,Tuesday,11,13
2021-03-30 11:05:00,2021-03-30 11:50:00,win,335.06055844229934,6,short,2021,3,Tuesday,11,13
2021-03-30 11:50:00,2021-03-30 12:30:00,win,324.05301730874305,7,short,2021,3,Tuesday,12,13
2021-03-30 12:55:00,2021-03-30 13:15:00,loss,-98.52675462023831,7,short,2021,3,Tuesday,13,13
2021-03-30 13:20:00,2021-03-31 12:40:00,loss,-84.36021852140092,6,short,2021,3,Wednesday,12,13
2021-04-01 10:55:00,2021-04-01 11:45:00,loss,-96.04637800427705,5,short,2021,4,Thursday,11,13
2021-04-15 08:30:00,2021-04-15 11:35:00,loss,-74.32881590814769,5,long,2021,4,Thursday,11,15
2021-04-15 12:05:00,2021-04-15 12:30:00,loss,-84.78178721767311,6,long,2021,4,Thursday,12,15
2021-04-15 12:30:00,2021-04-15 12:40:00,loss,-64.63108463071671,6,long,2021,4,Thursday,12,15
2021-04-15 12:40:00,2021-04-15 13:50:00,win,155.83096667735222,6,long,2021,4,Thursday,13,15
2021-04-15 13:55:00,2021-04-15 14:10:00,win,228.2811743415675,7,long,2021,4,Thursday,14,15
2021-04-15 15:55:00,2021-04-15 20:20:00,loss,-129.9346259857843,6,long,2021,4,Thursday,20,15
2021-04-20 11:00:00,2021-04-20 12:10:00,loss,-116.16034717378861,6,long,2021,4,Tuesday,12,16
2021-04-20 12:15:00,2021-04-20 12:20:00,loss,-79.36962409355033,5,long,2021,4,Tuesday,12,16
2021-04-20 13:50:00,2021-04-20 16:25:00,win,177.8963132559463,5,long,2021,4,Tuesday,16,16
2021-04-20 16:25:00,2021-04-20 16:50:00,loss,-94.59341094287147,5,long,2021,4,Tuesday,16,16
2021-04-20 17:00:00,2021-04-20 23:30:00,loss,-109.61679873772849,5,long,2021,4,Tuesday,23,16
2021-04-21 10:30:00,2021-04-21 11:35:00,win,221.24574874486348,5,long,2021,4,Wednesday,11,16
2021-04-21 11:35:00,2021-04-21 12:20:00,loss,-128.26225448704474,6,long,2021,4,Wednesday,12,16
2021-04-21 12:20:00,2021-04-21 13:40:00,win,302.6022976597741,6,long,2021,4,Wednesday,13,16
2021-04-21 14:10:00,2021-04-22 06:10:00,loss,-91.55999993811729,7,long,2021,4,Thursday,6,16
2021-04-27 09:45:00,2021-04-27 10:30:00,loss,-81.87319637154961,5,long,2021,4,Tuesday,10,17
2021-04-27 10:55:00,2021-04-27 11:40:00,loss,-83.44215699341942,5,long,2021,4,Tuesday,11,17
2021-04-27 11:55:00,2021-04-27 12:10:00,loss,-69.86719749854782,5,long,2021,4,Tuesday,12,17
2021-04-27 12:10:00,2021-04-27 13:30:00,loss,-62.469993145982826,5,long,2021,4,Tuesday,13,17
2021-04-27 14:00:00,2021-04-27 14:40:00,loss,-73.85304475662753,6,long,2021,4,Tuesday,14,17
2021-04-28 13:05:00,2021-04-28 13:35:00,loss,-56.050042395995064,5,long,2021,4,Wednesday,13,17
2021-04-28 13:40:00,2021-04-28 18:35:00,win,127.31428020143069,5,long,2021,4,Wednesday,18,17
2021-04-28 18:45:00,2021-04-29 01:15:00,win,188.18201021960357,6,long,2021,4,Thursday,1,17
2021-04-29 12:45:00,2021-04-29 13:00:00,loss,-65.20561961217182,5,long,2021,4,Thursday,13,17
2021-04-29 13:00:00,2021-04-29 13:05:00,loss,-118.45442352986103,7,long,2021,4,Thursday,13,17
2021-04-29 18:40:00,2021-04-30 00:15:00,loss,-130.86423794142587,5,long,2021,4,Friday,0,17
2021-05-04 08:00:00,2021-05-04 09:00:00,loss,-61.03826778256922,5,long,2021,5,Tuesday,9,18
2021-05-04 12:00:00,2021-05-04 13:00:00,win,157.9057661817869,5,long,2021,5,Tuesday,13,18
2021-05-04 13:05:00,2021-05-04 14:00:00,win,240.06351054830077,6,long,2021,5,Tuesday,14,18
2021-05-04 14:15:00,2021-05-04 15:10:00,loss,-97.813437639845,7,long,2021,5,Tuesday,15,18
2021-05-13 12:20:00,2021-05-13 12:25:00,loss,-78.34645668915947,5,long,2021,5,Thursday,12,19
2021-05-13 12:30:00,2021-05-13 14:00:00,win,146.5834372407263,5,long,2021,5,Thursday,14,19
2021-05-13 14:00:00,2021-05-16 22:00:00,win,219.87898073607084,6,long,2021,5,Sunday,22,19
2021-05-18 08:00:00,2021-05-18 08:05:00,loss,-112.71613390672356,6,long,2021,5,Tuesday,8,20
2021-05-18 08:55:00,2021-05-18 09:25:00,loss,-84.27897836064142,5,long,2021,5,Tuesday,9,20
2021-05-18 10:25:00,2021-05-18 11:05:00,loss,-101.75826331001554,5,long,2021,5,Tuesday,11,20
2021-05-18 11:40:00,2021-05-18 12:20:00,win,288.51028841366224,6,long,2021,5,Tuesday,12,20
2021-05-18 12:20:00,2021-05-18 12:45:00,loss,-132.52962158490575,7,long,2021,5,Tuesday,12,20
2021-05-18 12:55:00,2021-05-18 13:10:00,loss,-79.40824005090332,6,long,2021,5,Tuesday,13,20
2021-05-18 13:20:00,2021-05-18 13:30:00,loss,-40.64025932503641,5,long,2021,5,Tuesday,13,20
2021-05-18 14:50:00,2021-05-18 15:55:00,loss,-55.57215964388508,5,long,2021,5,Tuesday,15,20
2021-05-18 16:45:00,2021-05-19 00:45:00,win,321.00238906752395,5,long,2021,5,Wednesday,0,20
2021-05-19 13:15:00,2021-05-19 13:35:00,win,214.10770905863956,7,long,2021,5,Wednesday,13,20
2021-05-19 14:20:00,2021-05-19 18:05:00,loss,-68.56269105070257,6,long,2021,5,Wednesday,18,20
2021-05-20 08:05:00,2021-05-20 08:30:00,loss,-69.26539289424639,5,long,2021,5,Thursday,8,20
2021-05-20 12:05:00,2021-05-20 12:15:00,loss,-81.20667820561845,5,long,2021,5,Thursday,12,20
2021-05-20 13:00:00,2021-05-20 13:50:00,win,162.83563203497906,5,long,2021,5,Thursday,13,20
2021-05-20 14:15:00,2021-05-20 18:30:00,loss,-84.90664788155743,6,long,2021,5,Thursday,18,20
2021-05-25 09:00:00,2021-05-25 11:20:00,loss,-70.44891846003587,5,long,2021,5,Tuesday,11,21
2021-05-25 12:00:00,2021-05-25 13:05:00,loss,-84.14894170870842,5,long,2021,5,Tuesday,13,21
2021-05-25 13:45:00,2021-05-25 14:00:00,win,182.2647207004812,6,long,2021,5,Tuesday,14,21
2021-05-25 14:30:00,2021-05-26 01:00:00,win,111.85913022409437,5,long,2021,5,Wednesday,1,21
2021-05-26 08:00:00,2021-05-26 08:40:00,loss,-97.20482980458017,6,long,2021,5,Wednesday,8,21
2021-05-26 09:30:00,2021-05-26 11:30:00,loss,-78.68853138470234,5,long,2021,5,Wednesday,11,21
2021-05-26 12:00:00,2021-05-26 12:15:00,loss,-83.96466236728224,5,long,2021,5,Wednesday,12,21
2021-05-26 12:20:00,2021-05-26 13:00:00,loss,-127.67243173625099,7,long,2021,5,Wednesday,13,21
2021-05-26 13:30:00,2021-05-26 13:35:00,loss,-51.890554327847845,5,long,2021,5,Wednesday,13,21
2021-05-26 15:10:00,2021-05-26 17:15:00,loss,-70.13630177978607,5,long,2021,5,Wednesday,17,21
2021-07-29 08:20:00,2021-07-29 10:05:00,win,222.22422667473282,6,long,2021,7,Thursday,10,30
2021-07-29 10:05:00,2021-07-29 11:20:00,win,279.1895825186851,6,long,2021,7,Thursday,11,30
2021-07-29 11:30:00,2021-07-29 11:50:00,loss,-118.47676456738323,6,long,2021,7,Thursday,11,30
2021-07-29 11:50:00,2021-07-29 15:30:00,win,352.6236408974143,7,long,2021,7,Thursday,15,30
2021-07-29 15:30:00,2021-07-29 20:00:00,loss,-138.0205283684763,6,long,2021,7,Thursday,20,30
2021-08-03 13:00:00,2021-08-03 14:40:00,loss,-50.215292520120485,5,long,2021,8,Tuesday,14,31
2021-08-04 08:10:00,2021-08-04 08:30:00,loss,-71.19328894171076,5,long,2021,8,Wednesday,8,31
2021-08-04 10:55:00,2021-08-04 11:25:00,win,262.8960781871804,5,long,2021,8,Wednesday,11,31
2021-08-04 12:00:00,2021-08-04 12:15:00,win,150.0445024168696,5,long,2021,8,Wednesday,12,31
2021-08-04 13:50:00,2021-08-04 14:00:00,loss,-51.07668989510648,5,long,2021,8,Wednesday,14,31
