entry_time,exit_time,type,status,pnl
2021-03-01 13:05:00,2021-03-02 01:20:00,short,win,200.0
2021-03-02 13:05:00,2021-03-02 14:40:00,long,loss,-102.0
2021-03-02 15:55:00,2021-03-03 13:05:00,long,loss,-100.98
2021-03-03 16:40:00,2021-03-03 23:35:00,long,loss,-99.9702
2021-03-04 13:00:00,2021-03-04 17:20:00,long,loss,-98.970498
2021-03-08 13:00:00,2021-03-09 07:50:00,short,loss,-97.98079302000001
2021-03-09 13:00:00,2021-03-10 21:50:00,long,win,194.0019701796
2021-03-11 13:00:00,2021-03-11 14:25:00,long,loss,-98.94100479159599
2021-03-11 15:50:00,2021-03-12 05:50:00,long,loss,-97.95159474368003
2021-03-15 13:00:00,2021-03-16 14:25:00,short,loss,-96.97207879624324
2021-03-16 14:55:00,2021-03-21 22:00:00,short,loss,-96.00235800828081
2021-03-22 13:00:00,2021-03-30 00:00:00,short,win,190.08466885639598
2021-03-30 13:00:00,2021-03-31 13:50:00,short,loss,-96.94318111676195
2021-04-01 13:15:00,2021-04-08 07:35:00,long,win,191.94749861118868
2021-04-08 13:00:00,2021-04-09 12:20:00,long,loss,-97.89322429170623
2021-04-15 13:00:00,2021-04-15 13:50:00,short,loss,-96.91429204878918
2021-04-20 13:00:00,2021-04-20 15:40:00,short,loss,-95.9451491283013
2021-04-20 16:55:00,2021-04-21 13:55:00,long,win,189.97139527403655
2021-04-21 14:55:00,2021-04-22 13:00:00,long,loss,-96.88541158975865
2021-04-22 13:35:00,2021-04-23 14:15:00,long,loss,-95.91655747386105
2021-04-26 13:00:00,2021-04-27 12:20:00,short,loss,-94.95739189912243
2021-04-27 13:00:00,2021-04-29 13:50:00,short,win,188.01563596026241
2021-04-29 14:50:00,2021-05-03 13:30:00,long,win,191.77594867946766
2021-05-03 15:30:00,2021-05-04 16:00:00,short,win,195.61146765305702
2021-05-10 13:00:00,2021-05-13 00:00:00,long,loss,-99.76184850305908
2021-05-13 13:00:00,2021-05-16 22:00:00,long,win,197.52846003605697
2021-05-17 13:00:00,2021-05-17 14:10:00,short,loss,-100.73951461838907
2021-05-18 13:00:00,2021-05-19 08:45:00,long,loss,-99.73211947220516
2021-05-19 13:15:00,2021-05-25 14:00:00,long,win,197.46959655496624
2021-05-26 13:05:00,2021-06-04 00:00:00,short,win,201.41898848606553
2021-06-07 13:00:00,2021-06-10 07:55:00,long,loss,-102.72368412789343
2021-06-10 13:25:00,2021-06-11 15:20:00,long,loss,-101.6964472866145
2021-06-14 13:00:00,2021-06-14 13:40:00,short,loss,-100.67948281374835
2021-06-14 15:30:00,2021-06-15 16:25:00,long,loss,-99.67268798561086
2021-06-16 13:00:00,2021-06-16 18:00:00,long,loss,-98.67596110575477
2021-06-17 13:10:00,2021-06-18 09:55:00,short,loss,-97.68920149469722
2021-06-22 13:00:00,2021-06-23 13:35:00,short,loss,-96.71230947975025
2021-06-23 14:50:00,2021-06-23 17:10:00,long,loss,-95.74518638495275
2021-06-29 13:30:00,2021-06-30 16:35:00,short,loss,-94.78773452110322
2021-07-05 13:00:00,2021-07-06 12:00:00,long,win,187.67971435178436
2021-07-06 13:00:00,2021-07-14 12:00:00,short,loss,-95.71665431941003
2021-07-14 13:45:00,2021-07-15 07:10:00,short,loss,-94.75948777621592
2021-07-15 13:00:00,2021-07-25 22:00:00,short,win,187.6237857969075
2021-07-27 13:00:00,2021-07-29 10:05:00,long,win,191.37626151284567
2021-07-29 13:00:00,2021-08-05 13:40:00,short,win,195.20378674310257
2021-08-05 15:30:00,2021-08-06 12:30:00,long,loss,-99.55393123898232
2021-08-09 13:00:00,2021-08-09 14:50:00,long,loss,-98.55839192659249
2021-08-11 13:00:00,2021-08-13 13:05:00,long,win,195.14561601465314
2021-08-18 13:00:00,2021-08-18 15:15:00,long,loss,-99.5242641674731
2021-08-18 15:45:00,2021-08-23 13:05:00,long,win,197.05804305159677
2021-08-23 14:10:00,2021-08-27 15:45:00,short,loss,-100.49960195631435
2021-08-30 13:00:00,2021-09-03 12:30:00,short,loss,-99.4946059367512
2021-09-06 13:00:00,2021-09-07 08:15:00,long,loss,-98.49965987738369
2021-09-07 13:00:00,2021-09-12 22:00:00,short,win,195.02932655721972
2021-09-13 13:00:00,2021-09-13 14:10:00,short,loss,-99.46495654418206
2021-09-13 15:25:00,2021-09-15 00:00:00,short,loss,-98.47030697874025
2021-09-15 13:10:00,2021-09-19 22:00:00,short,win,194.97120781790568
2021-09-20 13:00:00,2021-09-21 15:10:00,long,win,198.87063197426377
2021-09-21 16:00:00,2021-09-22 18:10:00,short,loss,-101.42402230687452
2021-09-23 14:05:00,2021-09-28 12:40:00,short,win,200.8195641676116
2021-09-28 13:05:00,2021-09-29 16:55:00,long,loss,-102.4179777254819
2021-09-30 15:45:00,2021-10-08 13:20:00,long,win,202.78759589645418
2021-10-12 13:00:00,2021-10-12 13:50:00,short,loss,-103.42167390719163
2021-10-12 14:35:00,2021-10-14 00:00:00,short,loss,-102.38745716811972
2021-10-14 13:00:00,2021-10-17 22:00:00,long,loss,-101.36358259643853
2021-10-18 13:00:00,2021-10-19 12:15:00,long,win,200.6998935409483
2021-10-19 13:00:00,2021-10-19 14:30:00,long,loss,-102.35694570588363
2021-10-20 13:00:00,2021-10-22 12:40:00,long,win,202.66675249764958
2021-10-25 13:00:00,2021-10-26 13:30:00,long,loss,-103.36004377380128
2021-10-26 15:25:00,2021-10-27 13:35:00,short,loss,-102.32644333606328
2021-10-27 14:00:00,2021-11-04 01:00:00,short,win,202.60635780540528
2021-11-04 13:35:00,2021-11-07 23:00:00,long,win,206.65848496151338
2021-11-10 13:00:00,2021-11-10 13:35:00,long,win,210.79165466074366
2021-11-10 15:45:00,2021-11-11 11:35:00,short,loss,-107.50374387697926
2021-11-11 13:00:00,2021-11-14 23:00:00,short,loss,-106.42870643820947
2021-11-15 13:00:00,2021-11-16 17:50:00,long,loss,-105.36441937382737
2021-11-17 13:00:00,2021-11-19 09:00:00,long,loss,-104.3107751800891
2021-11-29 13:00:00,2021-12-02 08:25:00,short,win,206.5353348565764
2021-12-02 13:00:00,2021-12-02 14:35:00,long,loss,-105.33302077685397
2021-12-02 15:35:00,2021-12-02 18:25:00,long,loss,-104.27969056908543
2021-12-06 13:00:00,2021-12-08 02:05:00,short,loss,-103.23689366339458
2021-12-08 13:00:00,2021-12-15 18:45:00,short,win,204.4090494535213
2021-12-21 13:00:00,2021-12-21 15:35:00,long,loss,-104.24861522129586
2021-12-22 13:00:00,2021-12-27 15:20:00,long,win,206.4122581381658
2021-12-27 16:45:00,2021-12-30 00:50:00,long,loss,-105.27025165046456
2021-12-30 13:00:00,2021-12-31 13:10:00,long,win,208.4350982679198
2022-01-03 13:00:00,2022-01-06 08:50:00,short,win,212.60380023327824
2022-01-06 13:30:00,2022-01-16 23:00:00,short,loss,-108.42793811897191
2022-01-18 13:05:00,2022-01-20 00:00:00,short,loss,-107.34365873778219
2022-01-20 13:00:00,2022-01-21 08:55:00,long,loss,-106.27022215040438
2022-01-24 13:00:00,2022-01-24 15:20:00,long,loss,-105.20751992890033
2022-01-24 15:50:00,2022-01-26 19:05:00,long,loss,-104.15544472961132
2022-01-27 13:10:00,2022-01-28 11:05:00,short,win,206.22778056463042
2022-01-31 13:00:00,2022-02-02 15:25:00,long,win,210.35233617592303
2022-02-03 13:00:00,2022-02-09 00:00:00,short,loss,-107.27969144972074
2022-02-09 13:05:00,2022-02-14 00:00:00,long,win,212.41378907044705
2022-02-14 13:00:00,2022-02-14 14:30:00,short,loss,-108.33103242592802
2022-02-14 16:15:00,2022-02-15 02:35:00,short,loss,-107.24772210166873
2022-02-15 13:00:00,2022-02-16 14:30:00,short,loss,-106.17524488065204
2022-02-21 13:00:00,2022-02-24 02:45:00,long,win,210.22698486369103
2022-02-24 13:00:00,2022-02-24 14:15:00,long,loss,-107.21576228048244
2022-02-28 13:00:00,2022-02-28 16:40:00,long,loss,-106.14360465767761
2022-03-07 13:00:00,2022-03-07 13:30:00,short,win,210.16433722220165
2022-03-07 14:00:00,2022-03-07 15:35:00,short,loss,-107.18381198332285
2022-03-07 15:50:00,2022-03-09 00:00:00,long,win,212.22394772697925
2022-03-09 14:15:00,2022-03-11 12:15:00,short,win,216.46842668151885
2022-03-15 13:00:00,2022-03-16 18:15:00,short,win,220.7977952151492
2022-03-17 13:00:00,2022-03-22 14:05:00,short,win,225.21375111945218
2022-03-22 15:50:00,2022-03-24 00:00:00,long,win,229.71802614184122
2022-03-24 13:00:00,2022-03-24 14:15:00,short,loss,-117.15619333233903
2022-03-24 16:50:00,2022-03-25 10:40:00,long,loss,-115.98463139901564
2022-03-31 13:00:00,2022-04-01 14:30:00,long,loss,-114.82478508502547
2022-04-05 13:05:00,2022-04-05 15:55:00,long,loss,-113.67653723417521
2022-04-07 13:00:00,2022-04-11 08:20:00,long,win,225.07954372366692
2022-04-11 13:00:00,2022-04-11 13:50:00,long,loss,-114.79056729907012
2022-04-11 15:10:00,2022-04-12 12:30:00,short,loss,-113.64266162607942
2022-04-12 13:30:00,2022-04-18 07:45:00,long,win,225.01247001963722
2022-04-18 13:00:00,2022-04-18 14:40:00,long,loss,-114.75635971001499
2022-04-18 15:25:00,2022-04-18 17:55:00,long,loss,-113.60879611291485
2022-04-19 13:35:00,2022-04-25 00:00:00,short,win,224.9454163035714
2022-04-25 13:10:00,2022-04-26 13:30:00,short,loss,-114.72216231482142
2022-04-26 13:55:00,2022-04-28 01:10:00,short,win,227.1498813833464
