entry_time,exit_time,status,pnl,score,type,year,month,dow,hour,week
2022-01-04 08:00:00,2022-01-04 08:50:00,loss,-53.48505717223516,5,long,2022,1,Tuesday,8,1
2022-01-04 09:30:00,2022-01-04 11:10:00,loss,-58.50260940495347,5,long,2022,1,Tuesday,11,1
2022-01-04 14:00:00,2022-01-04 15:25:00,win,139.84054115073124,5,long,2022,1,Tuesday,15,1
2022-01-04 15:55:00,2022-01-05 13:25:00,win,161.01657205289112,5,long,2022,1,Wednesday,13,1
2022-01-05 13:25:00,2022-01-05 13:40:00,win,227.99771413042066,7,long,2022,1,Wednesday,13,1
2022-01-05 16:55:00,2022-01-05 19:00:00,loss,-93.34480199205822,5,long,2022,1,Wednesday,19,1
2022-01-25 13:00:00,2022-01-25 13:10:00,loss,-115.87012168739166,6,long,2022,1,Tuesday,13,4
2022-01-25 13:20:00,2022-01-25 14:25:00,loss,-91.8737470317235,6,long,2022,1,Tuesday,14,4
2022-01-25 14:40:00,2022-01-25 14:45:00,win,151.8846475699561,5,long,2022,1,Tuesday,14,4
2022-01-25 16:15:00,2022-01-26 07:45:00,loss,-61.67783927996907,5,long,2022,1,Wednesday,7,4
2022-01-26 09:10:00,2022-01-26 11:50:00,loss,-55.87876591582958,5,long,2022,1,Wednesday,11,4
2022-01-26 13:00:00,2022-01-26 13:05:00,loss,-78.28149492196768,5,long,2022,1,Wednesday,13,4
2022-01-26 13:20:00,2022-01-26 13:35:00,loss,-95.23703223954388,6,long,2022,1,Wednesday,13,4
2022-01-26 13:40:00,2022-01-26 13:50:00,loss,-87.00381301179905,6,long,2022,1,Wednesday,13,4
2022-02-02 09:20:00,2022-02-02 10:15:00,win,144.92592892286154,5,long,2022,2,Wednesday,10,5
2022-02-02 12:15:00,2022-02-02 13:05:00,loss,-82.67763493640241,5,long,2022,2,Wednesday,13,5
2022-02-02 14:30:00,2022-02-02 14:50:00,loss,-51.38359412169681,5,long,2022,2,Wednesday,14,5
2022-02-02 15:00:00,2022-02-03 12:10:00,loss,-68.35950751517706,6,long,2022,2,Thursday,12,5
2022-02-03 17:00:00,2022-02-09 00:00:00,win,211.12713120470173,5,long,2022,2,Wednesday,0,6
2022-02-09 08:25:00,2022-02-09 11:10:00,loss,-90.51849404858302,6,long,2022,2,Wednesday,11,6
2022-02-09 11:55:00,2022-02-09 13:00:00,win,314.9828593799105,6,long,2022,2,Wednesday,13,6
2022-02-09 13:15:00,2022-02-09 13:40:00,loss,-89.2029197765691,7,long,2022,2,Wednesday,13,6
2022-02-09 13:45:00,2022-02-09 13:55:00,loss,-63.91665074676745,6,long,2022,2,Wednesday,13,6
2022-02-09 14:40:00,2022-02-09 17:00:00,win,122.70710775673894,5,long,2022,2,Wednesday,17,6
2022-02-09 18:35:00,2022-02-09 20:05:00,loss,-108.96401781603105,5,long,2022,2,Wednesday,20,6
2022-02-10 09:50:00,2022-02-10 12:25:00,loss,-63.56130858673481,5,long,2022,2,Thursday,12,6
2022-02-10 14:35:00,2022-02-10 16:50:00,win,84.38158162378436,5,long,2022,2,Thursday,16,6
2022-02-10 17:20:00,2022-02-10 17:45:00,loss,-108.71072440235562,5,long,2022,2,Thursday,17,6
2022-02-22 08:10:00,2022-02-22 08:15:00,loss,-49.5598101907745,5,long,2022,2,Tuesday,8,8
2022-02-22 13:35:00,2022-02-22 15:05:00,loss,-73.99232840408578,5,long,2022,2,Tuesday,15,8
2022-02-22 17:00:00,2022-02-22 19:30:00,loss,-94.21664485491804,5,long,2022,2,Tuesday,19,8
2022-02-23 12:45:00,2022-02-23 13:20:00,win,241.10652619553616,5,long,2022,2,Wednesday,13,8
2022-02-23 13:40:00,2022-02-23 15:00:00,win,136.57400963839535,5,long,2022,2,Wednesday,15,8
2022-02-23 15:10:00,2022-02-24 00:25:00,win,237.4018406791821,7,long,2022,2,Thursday,0,8
2022-02-24 08:45:00,2022-02-24 09:05:00,loss,-139.60595670499873,6,long,2022,2,Thursday,9,8
2022-02-24 09:05:00,2022-02-24 09:55:00,win,339.36414212106627,6,long,2022,2,Thursday,9,8
2022-03-24 08:00:00,2022-03-24 08:30:00,loss,-106.41348972158139,6,long,2022,3,Thursday,8,12
2022-03-24 08:35:00,2022-03-24 08:55:00,loss,-64.11104477837665,5,long,2022,3,Thursday,8,12
2022-03-24 09:55:00,2022-03-24 10:20:00,win,203.48726612390885,5,long,2022,3,Thursday,10,12
2022-03-24 10:30:00,2022-03-24 10:55:00,loss,-111.06313834985394,6,long,2022,3,Thursday,10,12
2022-03-24 10:55:00,2022-03-24 11:40:00,win,372.40667123974987,7,long,2022,3,Thursday,11,12
2022-03-24 12:55:00,2022-03-24 14:15:00,win,124.0451629281393,5,long,2022,3,Thursday,14,12
2022-03-24 17:30:00,2022-03-24 19:00:00,loss,-167.02575489940722,6,long,2022,3,Thursday,19,12
2022-03-31 08:00:00,2022-03-31 08:15:00,loss,-71.25536653689582,5,long,2022,3,Thursday,8,13
2022-03-31 15:30:00,2022-03-31 16:15:00,loss,-77.49944948626407,5,long,2022,3,Thursday,16,13
2022-03-31 17:00:00,2022-03-31 18:25:00,loss,-114.47182018826156,5,long,2022,3,Thursday,18,13
2022-04-05 09:05:00,2022-04-05 09:20:00,loss,-56.884744431046414,5,long,2022,4,Tuesday,9,14
2022-04-05 09:50:00,2022-04-05 10:20:00,loss,-60.06047810273778,5,long,2022,4,Tuesday,10,14
2022-04-07 10:10:00,2022-04-07 10:50:00,loss,-79.98374268034935,5,long,2022,4,Thursday,10,14
2022-04-07 11:15:00,2022-04-07 12:05:00,win,191.11819151250344,5,long,2022,4,Thursday,12,14
2022-04-07 12:20:00,2022-04-07 12:30:00,loss,-57.2583939235091,5,long,2022,4,Thursday,12,14
2022-04-07 13:35:00,2022-04-10 22:00:00,win,124.72442170764866,5,long,2022,4,Sunday,22,14
2022-04-12 09:55:00,2022-04-12 12:05:00,win,204.12550939067458,5,long,2022,4,Tuesday,12,15
2022-04-12 12:05:00,2022-04-12 12:25:00,loss,-105.68157945988719,6,long,2022,4,Tuesday,12,15
2022-04-12 14:20:00,2022-04-13 00:30:00,loss,-52.9983991544932,5,long,2022,4,Wednesday,0,15
