entry_time,exit_time,status,pnl,score,type
2021-03-02 08:00:00,2021-03-02 08:30:00,loss,-80.0,5,short
2021-03-02 09:00:00,2021-03-02 10:30:00,win,198.4,5,long
2021-03-02 11:00:00,2021-03-02 12:50:00,win,202.36800000000002,5,long
2021-03-02 13:05:00,2021-03-02 13:20:00,loss,-82.56614400000001,5,long
2021-03-02 13:20:00,2021-03-02 15:40:00,win,204.76403712,5,short
2021-03-02 15:45:00,2021-03-02 16:00:00,loss,-83.54372714495999,5,short
2021-03-02 16:00:00,2021-03-02 17:30:00,win,207.1884433195008,5,long
2021-03-02 17:45:00,2021-03-03 01:30:00,loss,-84.53288487435633,5,long
2021-03-03 08:00:00,2021-03-03 08:20:00,win,209.6415544884037,5,short
2021-03-03 08:25:00,2021-03-03 11:25:00,win,320.75157836725765,6,short
2021-03-03 11:25:00,2021-03-03 12:00:00,loss,-132.14965028731015,6,short
2021-03-03 12:00:00,2021-03-03 12:35:00,loss,-87.04256965590828,5,short
2021-03-03 13:35:00,2021-03-03 15:40:00,win,404.74794889997355,7,short
2021-03-03 15:45:00,2021-03-03 15:55:00,loss,-167.970398793489,7,short
2021-03-03 17:10:00,2021-03-04 13:00:00,loss,-88.2404494995129,5,short
2021-03-04 13:20:00,2021-03-04 15:35:00,loss,-131.3017888552752,6,short
2021-03-04 15:40:00,2021-03-04 16:55:00,loss,-86.4841115926746,5,long
2021-03-04 17:10:00,2021-03-04 17:30:00,win,214.480596749833,5,short
2021-03-04 18:25:00,2021-03-05 00:10:00,win,328.1553130272445,6,short
2021-03-09 08:00:00,2021-03-09 08:55:00,win,225.33331494537458,5,long
2021-03-09 09:05:00,2021-03-09 11:35:00,win,344.75997186642303,6,long
2021-03-09 11:55:00,2021-03-09 12:05:00,loss,-94.69407227264419,5,long
2021-03-09 12:05:00,2021-03-09 12:20:00,loss,-93.93651969446304,5,long
2021-03-09 13:20:00,2021-03-09 14:10:00,win,232.96256884226833,5,long
2021-03-09 14:40:00,2021-03-09 15:50:00,loss,-142.57309213146817,6,long
2021-03-09 17:05:00,2021-03-10 00:55:00,loss,-93.90814335059373,5,long
2021-03-10 08:20:00,2021-03-10 08:35:00,loss,-93.15687820378896,5,short
2021-03-10 08:40:00,2021-03-10 08:50:00,loss,-92.41162317815866,5,short
2021-03-10 08:50:00,2021-03-10 09:45:00,loss,-91.67233019273338,5,long
2021-03-10 10:30:00,2021-03-10 13:00:00,loss,-90.93895155119151,5,short
2021-03-10 13:00:00,2021-03-10 13:30:00,win,225.5285998469549,5,long
2021-03-10 14:05:00,2021-03-10 15:25:00,loss,-138.02350310633642,6,long
2021-03-10 16:00:00,2021-03-10 16:10:00,loss,-136.36722106906038,6,long
2021-03-10 16:45:00,2021-03-10 19:25:00,win,224.5513573603861,5,long
2021-03-11 08:00:00,2021-03-11 09:30:00,loss,-171.78178838069536,7,long
2021-03-11 10:50:00,2021-03-11 11:10:00,loss,-90.24269949599197,5,long
2021-03-11 11:15:00,2021-03-11 11:30:00,loss,-134.28113685003606,6,long
2021-03-11 12:45:00,2021-03-11 13:10:00,loss,-132.66976320783562,6,long
2021-03-11 13:10:00,2021-03-11 13:30:00,loss,-131.0777260493416,6,long
2021-03-11 14:00:00,2021-03-11 14:30:00,win,323.7619833418737,6,short
2021-03-11 14:50:00,2021-03-12 06:10:00,win,222.31656189475333,5,short
2021-03-16 08:15:00,2021-03-16 14:25:00,win,340.1443396989726,6,long
2021-03-16 14:40:00,2021-03-16 14:55:00,loss,-175.17433494497087,7,long
2021-03-16 17:00:00,2021-03-16 17:40:00,loss,-92.02491729109137,5,long
2021-03-30 08:05:00,2021-03-30 11:00:00,win,427.91586540357486,7,short
2021-03-30 11:05:00,2021-03-30 11:50:00,win,355.1701682849671,6,short
2021-03-30 11:50:00,2021-03-30 12:30:00,win,457.2815916668951,7,short
2021-03-30 12:55:00,2021-03-30 13:15:00,loss,-189.7718605417615,7,short
2021-03-30 13:20:00,2021-03-31 12:40:00,loss,-149.54022610690805,6,short
2021-03-31 13:00:00,2021-03-31 13:50:00,win,369.36435848406285,6,long
2021-03-31 14:30:00,2021-03-31 14:50:00,win,380.44528923858473,6,long
2021-03-31 17:45:00,2021-03-31 18:00:00,loss,-104.49563944419795,5,long
2021-04-01 08:00:00,2021-04-01 08:40:00,loss,-103.65967432864437,5,long
2021-04-01 10:55:00,2021-04-01 11:45:00,loss,-102.83039693401523,5,short
2021-04-01 11:45:00,2021-04-01 12:20:00,win,255.01938439635774,5,long
2021-04-01 12:25:00,2021-04-01 13:00:00,win,260.11977208428493,5,long
2021-04-01 13:15:00,2021-04-01 15:00:00,win,397.98325128895584,6,long
2021-04-01 15:05:00,2021-04-01 16:15:00,loss,-163.9690995310498,6,long
